time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),canton
2018-01-01,7.9,4.7,6.2,4.2,0.21,Aargau
2018-01-02,6.6,2.4,4.3,2.6,0.77,Aargau
2018-01-03,11.4,2.5,6.9,12.3,0.21,Aargau
2018-01-04,10.8,3.7,7.4,21.1,0,Aargau
2018-01-05,11.9,7.8,9.8,12.3,0,Aargau
2018-01-06,8.7,4,6.7,5.5,0,Aargau
2018-01-07,8.3,3,4.7,0,0,Aargau
2018-01-08,7.9,1.9,4,0,0,Aargau
2018-01-09,7.1,1.4,3.8,2.5,0,Aargau
2018-01-10,5.9,-1.5,2.5,0,0,Aargau
2018-01-11,7.1,-1,3,0.6,0,Aargau
2018-01-12,4.6,1.6,3.4,0.5,0,Aargau
2018-01-13,3.8,-0.9,1.7,0,0,Aargau
2018-01-14,1.3,-3.7,-1.2,0,0,Aargau
2018-01-15,5.7,-4.6,1.2,1.2,0,Aargau
2018-01-16,8.2,5,6.3,15.3,0.42,Aargau
2018-01-17,5.5,1.3,2.7,8.3,1.12,Aargau
2018-01-18,6.4,1.7,4.3,5.3,1.26,Aargau
2018-01-19,7,1.9,4.5,9,0.7,Aargau
2018-01-20,5.8,0.3,2.9,6.7,0.63,Aargau
2018-01-21,6.2,1.3,3.5,10.9,1.75,Aargau
2018-01-22,9.1,1.7,7.2,29.5,0.21,Aargau
2018-01-23,8.1,2.7,5.9,0.1,0,Aargau
2018-01-24,11.9,3.3,6.6,0,0,Aargau
2018-01-25,11.7,4.8,7.1,0,0,Aargau
2018-01-26,8,1.2,4.7,1.5,0,Aargau
2018-01-27,7.8,4,5.9,2.5,0,Aargau
2018-01-28,8.4,2.8,5.4,0,0,Aargau
2018-01-29,10.1,4.2,7,0,0,Aargau
2018-01-30,9,5.6,6.9,0,0,Aargau
2018-01-31,9.5,4.1,6.5,0.6,0,Aargau
2018-02-01,7.4,-1.1,3.4,14.6,0.28,Aargau
2018-02-02,5.1,-2.9,0.7,0.1,0.14,Aargau
2018-02-03,3.7,-2.3,0.3,0,0.21,Aargau
2018-02-04,4.1,-2,0.6,0,0,Aargau
2018-02-05,3.3,-2.2,-0,0,0.14,Aargau
2018-02-06,3.4,-3.4,-1.1,0,0,Aargau
2018-02-07,3,-2.6,0,0,1.33,Aargau
2018-02-08,3,-2.1,0.2,0,1.54,Aargau
2018-02-09,4,-3.1,-0.7,0,0,Aargau
2018-02-10,3,-2,0.4,0,0.21,Aargau
2018-02-11,4.1,-1,1.3,3.3,1.26,Aargau
2018-02-12,3,-4.1,0.5,0.1,2.24,Aargau
2018-02-13,3.1,-5.4,-2.1,0,0,Aargau
2018-02-14,2.5,-4.4,-2.1,0,0,Aargau
2018-02-15,7.3,-4.4,1.2,7.6,2.38,Aargau
2018-02-16,7.5,2.1,4.6,11.2,0,Aargau
2018-02-17,3.6,0.6,1.9,7.8,2.66,Aargau
2018-02-18,2.7,-1.5,0.5,0,1.75,Aargau
2018-02-19,2.6,-2.7,-0.4,0,0,Aargau
2018-02-20,2.1,-1.4,-0.1,0,0.56,Aargau
2018-02-21,1.8,-2.9,-0.6,0,0,Aargau
2018-02-22,-0.5,-3.1,-1.7,0,0.28,Aargau
2018-02-23,-0.5,-2.3,-1.5,0,0,Aargau
2018-02-24,1.8,-2.3,-0.6,0,0,Aargau
2018-02-25,-2.7,-7.6,-5,0,0,Aargau
2018-02-26,-5.3,-10.1,-7.9,0,0,Aargau
2018-02-27,-5.5,-10.2,-8.2,0,0,Aargau
2018-02-28,-2.2,-11,-7.2,0,0,Aargau
2018-03-01,-0.3,-7.4,-5,0,1.05,Aargau
2018-03-02,2.3,-7.8,-3.1,0.3,2.94,Aargau
2018-03-03,3.9,-4.6,-0.3,1.4,0.07,Aargau
2018-03-04,9.6,-1.4,4.1,2.2,0,Aargau
2018-03-05,11.5,1.7,5.5,0.4,0,Aargau
2018-03-06,9.6,-1.4,3.9,0.5,0,Aargau
2018-03-07,8.9,1.8,4.7,1.1,0,Aargau
2018-03-08,11.1,0.7,5.6,0.2,0,Aargau
2018-03-09,13.1,5.5,8.5,0,0,Aargau
2018-03-10,10.7,3.3,7.2,1.9,0,Aargau
2018-03-11,11.9,0.9,5.8,1.5,0,Aargau
2018-03-12,12.4,4.6,7.8,4.3,0,Aargau
2018-03-13,9.1,4.4,6.4,1.4,0,Aargau
2018-03-14,12.3,2.8,6.8,1.1,0,Aargau
2018-03-15,11.6,0.9,5,0.1,0,Aargau
2018-03-16,11.4,3,6.5,1,0,Aargau
2018-03-17,8.5,1.6,4.3,8.1,0.91,Aargau
2018-03-18,3.9,-1.3,1.1,0.2,0.91,Aargau
2018-03-19,4.6,-1.5,0.6,0,0.49,Aargau
2018-03-20,2.6,-3.7,-0.3,0,0.28,Aargau
2018-03-21,4.5,-2.8,0.4,0,0.14,Aargau
2018-03-22,5.6,-5,0,0,0.35,Aargau
2018-03-23,7.5,0.6,3.7,0,1.05,Aargau
2018-03-24,10.9,-1.8,4.3,0,0,Aargau
2018-03-25,13.3,0.2,6.1,0.3,0,Aargau
2018-03-26,10.2,3.1,6.3,0.8,0,Aargau
2018-03-27,10.7,3.2,6.5,3.6,0,Aargau
2018-03-28,11.7,6.1,8.8,8.7,0,Aargau
2018-03-29,8.4,1.3,5.4,5.5,0,Aargau
2018-03-30,14.4,-0.5,5.3,4,0,Aargau
2018-03-31,7.4,2,4.5,2.1,0,Aargau
2018-04-01,8.6,2.8,5.2,1.7,0.14,Aargau
2018-04-02,14.3,-2.1,6,0,0,Aargau
2018-04-03,18.7,4.1,11,0.1,0,Aargau
2018-04-04,17.5,3.6,8.8,7.2,0,Aargau
2018-04-05,12.7,5.9,8.5,2.8,0,Aargau
2018-04-06,15.6,2.3,8.6,0,0,Aargau
2018-04-07,20.4,2.1,10.7,0,0,Aargau
2018-04-08,22,4.6,12.7,0,0,Aargau
2018-04-09,19.9,7.6,13,0,0,Aargau
2018-04-10,16.6,5.4,10.5,2.4,0,Aargau
2018-04-11,17.2,1.4,9.7,0,0,Aargau
2018-04-12,17.7,6.6,11.4,0.1,0,Aargau
2018-04-13,15.7,5.3,10.5,0.4,0,Aargau
2018-04-14,18.4,4.6,11.5,0,0,Aargau
2018-04-15,18.7,6.9,12.8,0,0,Aargau
2018-04-16,17.1,9.9,12.9,4.3,0,Aargau
2018-04-17,20.4,7.8,14,0,0,Aargau
2018-04-18,22.1,8,14.7,0,0,Aargau
2018-04-19,23.5,8.3,15.5,0,0,Aargau
2018-04-20,24.9,9.7,17,0,0,Aargau
2018-04-21,25.6,8.6,17.5,0,0,Aargau
2018-04-22,25.2,9.2,17.6,0.1,0,Aargau
2018-04-23,21.2,12.7,15.8,3.6,0,Aargau
2018-04-24,21.5,9.8,15.2,0.3,0,Aargau
2018-04-25,22.3,11.2,16,0.5,0,Aargau
2018-04-26,13.6,10.1,12,0.9,0,Aargau
2018-04-27,21.4,7,13.7,0,0,Aargau
2018-04-28,20.8,11.5,15,0.9,0,Aargau
2018-04-29,24.8,10,16.4,0,0,Aargau
2018-04-30,15.9,7.8,11.9,6.2,0,Aargau
2018-05-01,10.5,6.4,8.7,3.5,0,Aargau
2018-05-02,15,6.4,11.3,1.1,0,Aargau
2018-05-03,14.7,9.7,12,6.1,0,Aargau
2018-05-04,18.7,12.9,15.7,0.5,0,Aargau
2018-05-05,21.7,14.4,17.8,0.1,0,Aargau
2018-05-06,24.3,12.7,18.3,0.1,0,Aargau
2018-05-07,23.7,10.1,16.9,0,0,Aargau
2018-05-08,24.4,10,17.9,0.1,0,Aargau
2018-05-09,22.1,11.4,16.9,0.3,0,Aargau
2018-05-10,15.8,11.3,13.1,11.8,0,Aargau
2018-05-11,20,7.5,14.1,0,0,Aargau
2018-05-12,24,9.4,17.4,0.1,0,Aargau
2018-05-13,15.5,10,11.8,4.8,0,Aargau
2018-05-14,14.6,9.7,11.4,1.8,0,Aargau
2018-05-15,15.7,9.3,12.4,18.6,0,Aargau
2018-05-16,15.2,8.6,11.6,11.2,0,Aargau
2018-05-17,16.6,7.9,12,5.6,0,Aargau
2018-05-18,19.4,7.4,13.4,2.6,0,Aargau
2018-05-19,19.5,8.4,13.8,1.6,0,Aargau
2018-05-20,17.7,10.2,13.9,3.9,0,Aargau
2018-05-21,22.4,10.2,15.6,1.5,0,Aargau
2018-05-22,23,9.9,16.8,0.6,0,Aargau
2018-05-23,20.8,12.3,16.4,1.8,0,Aargau
2018-05-24,21.8,12.7,17.2,0.1,0,Aargau
2018-05-25,24.8,12.1,18.6,0,0,Aargau
2018-05-26,26.2,12.9,19.7,1.3,0,Aargau
2018-05-27,25.8,14.5,20,0.5,0,Aargau
2018-05-28,24.9,15,20.1,0,0,Aargau
2018-05-29,22.2,15.6,18.8,6,0,Aargau
2018-05-30,25.9,13.7,19.5,2.1,0,Aargau
2018-05-31,23.3,15.1,18.7,4.8,0,Aargau
2018-06-01,22.2,13.2,17.7,4.4,0,Aargau
2018-06-02,23.5,13.9,18.8,1.4,0,Aargau
2018-06-03,25.6,13.1,19.7,0.1,0,Aargau
2018-06-04,26.4,15.5,20.7,0.7,0,Aargau
2018-06-05,25.8,15.4,20,1.1,0,Aargau
2018-06-06,24,16.3,19.7,2.4,0,Aargau
2018-06-07,23.4,16.1,19.2,2.7,0,Aargau
2018-06-08,23.5,15.6,19,7.8,0,Aargau
2018-06-09,25.2,15.6,20,6,0,Aargau
2018-06-10,26.1,15.5,21.1,1.7,0,Aargau
2018-06-11,26.4,15.7,19.6,12.8,0,Aargau
2018-06-12,20,15.3,17.6,14.2,0,Aargau
2018-06-13,16,13.2,14.7,8.2,0,Aargau
2018-06-14,20.6,9.7,15.3,0,0,Aargau
2018-06-15,22.7,11.9,17.5,0,0,Aargau
2018-06-16,24.1,11.4,18.5,0,0,Aargau
2018-06-17,22.6,15.7,18.7,1.8,0,Aargau
2018-06-18,23.4,14.9,18.7,0.3,0,Aargau
2018-06-19,26.1,13.3,20.1,0,0,Aargau
2018-06-20,29.6,15.2,22.5,0.1,0,Aargau
2018-06-21,28.2,17.9,22.4,0.2,0,Aargau
2018-06-22,20.1,11.9,16,0,0,Aargau
2018-06-23,21,10.5,16.4,0,0,Aargau
2018-06-24,21.6,11.1,17,0.1,0,Aargau
2018-06-25,21.8,13.4,18,0.1,0,Aargau
2018-06-26,25.3,12.3,19.2,0,0,Aargau
2018-06-27,25.9,14.5,20.1,0.1,0,Aargau
2018-06-28,24.3,14,18.3,1.7,0,Aargau
2018-06-29,24.4,14.6,19.6,0.1,0,Aargau
2018-06-30,30.2,15.2,23.4,0,0,Aargau
2018-07-01,30.3,17.8,23.9,0,0,Aargau
2018-07-02,31,16.3,23.2,0,0,Aargau
2018-07-03,25.6,18.3,20.8,6.3,0,Aargau
2018-07-04,28.1,16.4,22.4,0.2,0,Aargau
2018-07-05,21.6,17.4,19.2,14.5,0,Aargau
2018-07-06,21.4,14.6,17.8,3.4,0,Aargau
2018-07-07,24.8,13.6,19.5,2.3,0,Aargau
2018-07-08,25.8,15.5,21.1,0,0,Aargau
2018-07-09,27.8,15.4,21.9,0,0,Aargau
2018-07-10,23.2,16.8,19.7,0.1,0,Aargau
2018-07-11,21.4,15.3,18,0,0,Aargau
2018-07-12,25.5,11.5,19.2,0,0,Aargau
2018-07-13,27.7,14.6,21.6,0,0,Aargau
2018-07-14,28.7,17.1,23.2,0.1,0,Aargau
2018-07-15,28.8,17.2,22.3,1.9,0,Aargau
2018-07-16,27.7,14.9,21.2,0.1,0,Aargau
2018-07-17,27.6,15.1,21.7,0,0,Aargau
2018-07-18,29.1,15.8,22.7,0,0,Aargau
2018-07-19,30.7,17.3,24,0.3,0,Aargau
2018-07-20,28.9,17.8,23.3,1.7,0,Aargau
2018-07-21,22,17.1,19,11.4,0,Aargau
2018-07-22,24.3,14.6,19.9,0.5,0,Aargau
2018-07-23,26.3,16.3,21.2,2.2,0,Aargau
2018-07-24,30.5,16,23.6,0,0,Aargau
2018-07-25,30.9,19.4,25.2,0,0,Aargau
2018-07-26,31.7,17.8,25.5,0,0,Aargau
2018-07-27,32,17.2,25.5,0,0,Aargau
2018-07-28,26.8,17.5,21.3,11.2,0,Aargau
2018-07-29,30,15.9,22.9,0,0,Aargau
2018-07-30,33,18.3,26.3,0,0,Aargau
2018-07-31,33.4,19.9,27.4,0,0,Aargau
2018-08-01,34.6,21.8,27.2,0.1,0,Aargau
2018-08-02,30.9,19,25.5,0.1,0,Aargau
2018-08-03,33.8,20.9,27.8,0,0,Aargau
2018-08-04,32.9,23.1,28,0,0,Aargau
2018-08-05,33.6,20.8,27.5,0,0,Aargau
2018-08-06,34,21.8,27.6,0,0,Aargau
2018-08-07,33.1,21,26.8,0.1,0,Aargau
2018-08-08,30.7,19.6,24.8,2,0,Aargau
2018-08-09,31.9,18.4,23,3.7,0,Aargau
2018-08-10,23.4,14.6,19,0,0,Aargau
2018-08-11,24.9,16.4,20.3,0,0,Aargau
2018-08-12,30.3,12.5,21.4,0,0,Aargau
2018-08-13,24.1,16.8,20.3,12.6,0,Aargau
2018-08-14,23,16.6,19.2,4.8,0,Aargau
2018-08-15,25.6,15.8,20.3,0,0,Aargau
2018-08-16,28.6,13.9,21.4,0,0,Aargau
2018-08-17,28,16.2,21.1,3.7,0,Aargau
2018-08-18,24.8,17,20.5,1.4,0,Aargau
2018-08-19,28,15.7,22.1,0,0,Aargau
2018-08-20,28.7,16.6,22.7,0,0,Aargau
2018-08-21,30.4,17.3,23.8,0.2,0,Aargau
2018-08-22,31.2,17.1,24.3,0.2,0,Aargau
2018-08-23,29.5,18.8,23.2,1.4,0,Aargau
2018-08-24,22.6,16.4,19.2,3.2,0,Aargau
2018-08-25,18.5,11.5,14.2,2.9,0,Aargau
2018-08-26,19.6,8.6,13.8,0,0,Aargau
2018-08-27,23.8,9.7,17.4,0,0,Aargau
2018-08-28,27.6,15.7,21.3,0.1,0,Aargau
2018-08-29,28.2,14.3,20.3,3.1,0,Aargau
2018-08-30,19.3,14.4,17.2,1.1,0,Aargau
2018-08-31,15.8,12.9,14.4,11.8,0,Aargau
2018-09-01,15.8,12.5,13.8,7.9,0,Aargau
2018-09-02,17.6,12.2,14.6,1.1,0,Aargau
2018-09-03,19.5,12.3,15.7,1,0,Aargau
2018-09-04,22.7,12.3,17.5,0.1,0,Aargau
2018-09-05,24.6,11.6,18.2,0,0,Aargau
2018-09-06,23.1,12.3,17.9,0.9,0,Aargau
2018-09-07,21.1,15.3,17.7,1.2,0,Aargau
2018-09-08,22.2,14.3,17.7,0,0,Aargau
2018-09-09,25,9.6,18.1,0,0,Aargau
2018-09-10,26.3,12,19.5,0,0,Aargau
2018-09-11,27.1,12.4,19.3,0,0,Aargau
2018-09-12,28.3,12,20.1,0,0,Aargau
2018-09-13,25.2,14.9,19.6,10.5,0,Aargau
2018-09-14,21.4,14.9,18.1,4.6,0,Aargau
2018-09-15,21.9,13.9,17.1,0.1,0,Aargau
2018-09-16,21.6,10.9,15.9,0,0,Aargau
2018-09-17,25.4,11.6,17.8,0,0,Aargau
2018-09-18,26.3,13.4,19.6,0.2,0,Aargau
2018-09-19,26.6,13.9,19.7,0,0,Aargau
2018-09-20,26.5,13.4,19.6,0,0,Aargau
2018-09-21,26.3,13.6,18.8,2.2,0,Aargau
2018-09-22,18.4,9.7,14.3,0.1,0,Aargau
2018-09-23,26.1,13.4,19.1,15.8,0,Aargau
2018-09-24,14,8.5,11.5,2.2,0,Aargau
2018-09-25,15.3,5.8,10,0,0,Aargau
2018-09-26,19,3.5,10.9,0,0,Aargau
2018-09-27,22.2,5.7,14,0,0,Aargau
2018-09-28,22.5,8.9,15.4,0,0,Aargau
2018-09-29,18.5,9.6,13.8,0,0,Aargau
2018-09-30,21.8,6.3,14,4.9,0,Aargau
2018-10-01,13.7,7.1,10.1,6.3,0,Aargau
2018-10-02,11.6,4.6,8.6,0,0,Aargau
2018-10-03,16.6,9.4,12.2,0,0,Aargau
2018-10-04,18,8.3,12.2,0,0,Aargau
2018-10-05,21.4,6.1,12.9,0,0,Aargau
2018-10-06,20.5,9.6,14.9,0.1,0,Aargau
2018-10-07,20.8,9.6,14.7,0.1,0,Aargau
2018-10-08,21.1,9.7,14.4,0,0,Aargau
2018-10-09,19.1,9.5,13.5,0,0,Aargau
2018-10-10,20.5,10.6,14,0,0,Aargau
2018-10-11,18.4,8.2,13,0,0,Aargau
2018-10-12,21.9,9.4,14.5,0,0,Aargau
2018-10-13,21.7,7.5,13.2,0,0,Aargau
2018-10-14,22,7.7,13.2,0,0,Aargau
2018-10-15,22.4,6.9,13.7,0,0,Aargau
2018-10-16,20.9,7.2,13.7,0,0,Aargau
2018-10-17,19.8,6.6,12.7,0,0,Aargau
2018-10-18,19.6,8,13,0,0,Aargau
2018-10-19,17.5,7.7,12.2,0,0,Aargau
2018-10-20,15.9,6.2,10,0,0,Aargau
2018-10-21,15.4,4.8,9.5,0,0,Aargau
2018-10-22,13.8,2.1,7.8,0,0,Aargau
2018-10-23,14,2.6,8.6,0,0,Aargau
2018-10-24,14,8.5,10.8,0,0,Aargau
2018-10-25,17.5,6.9,11.4,0,0,Aargau
2018-10-26,15.7,5.1,9,0,0,Aargau
2018-10-27,8.4,3.9,6.6,17.3,0,Aargau
2018-10-28,4.6,2.1,3.3,10.5,3.15,Aargau
2018-10-29,6.4,3,4.4,9.1,0,Aargau
2018-10-30,7.1,3,4.9,4.4,0,Aargau
2018-10-31,11.8,1.2,5.6,0,0,Aargau
2018-11-01,13.5,2.4,7.1,1.5,0,Aargau
2018-11-02,11.8,6,8.3,1.4,0,Aargau
2018-11-03,12.2,6.8,9,0,0,Aargau
2018-11-04,10.9,6.3,7.8,0,0,Aargau
2018-11-05,13,6,8.4,0.2,0,Aargau
2018-11-06,14.7,2.7,8,0,0,Aargau
2018-11-07,12.9,5.4,9.2,0.5,0,Aargau
2018-11-08,13,7.8,9.9,2.6,0,Aargau
2018-11-09,12,5.6,8.2,0,0,Aargau
2018-11-10,9.8,4.6,7.1,0.4,0,Aargau
2018-11-11,11.8,6.4,8.3,8.1,0,Aargau
2018-11-12,14.9,5.5,8.8,0.4,0,Aargau
2018-11-13,11,5.1,8.1,3.4,0,Aargau
2018-11-14,8.1,4.3,6.1,0,0,Aargau
2018-11-15,7.9,5.8,6.7,0,0,Aargau
2018-11-16,7.1,1.6,5.2,0,0,Aargau
2018-11-17,5.6,1,2.7,0,0,Aargau
2018-11-18,3.9,-0.9,0.9,0,0,Aargau
2018-11-19,2.7,-1.4,1,0,1.12,Aargau
2018-11-20,2.3,-1.8,-0.5,0,0,Aargau
2018-11-21,3.2,-2.6,-0.2,0,0,Aargau
2018-11-22,5.2,-1,1.5,0,0,Aargau
2018-11-23,2.9,0.2,1.6,0.3,0,Aargau
2018-11-24,9.9,1.3,5.2,2.8,0,Aargau
2018-11-25,4.6,0.7,2.8,0,0,Aargau
2018-11-26,5.4,2.4,3.8,1.3,0,Aargau
2018-11-27,4.4,1.9,3.1,2.9,0.07,Aargau
2018-11-28,4.1,-0.9,1.5,0.2,0,Aargau
2018-11-29,5.1,-0.4,2,0,0,Aargau
2018-11-30,6.7,0.3,3.8,2.9,0,Aargau
2018-12-01,8.5,2.6,5.4,0.2,0,Aargau
2018-12-02,10.3,2.7,7.6,14.5,0.21,Aargau
2018-12-03,12.6,9.9,10.9,15.8,0,Aargau
2018-12-04,10.6,6.1,8.8,3.4,0,Aargau
2018-12-05,9,4.3,6.5,0,0,Aargau
2018-12-06,10.6,5.8,8.2,3.6,0,Aargau
2018-12-07,11.3,7.4,9.3,3.1,0,Aargau
2018-12-08,7.2,3.4,5.5,4.4,0.07,Aargau
2018-12-09,8.2,5.2,6.9,16,0,Aargau
2018-12-10,6.1,2.4,4.3,1.8,1.26,Aargau
2018-12-11,3.6,-2.7,0.9,1.2,1.54,Aargau
2018-12-12,2.6,-4.8,-1.6,0,0,Aargau
2018-12-13,1.5,-3.2,-0.9,0,0,Aargau
2018-12-14,0.2,-2.7,-1.4,0,0,Aargau
2018-12-15,0.2,-4.2,-2.4,0,0,Aargau
2018-12-16,5.5,-3,0.5,0.8,3.78,Aargau
2018-12-17,5,-1.4,2.2,1.2,0.14,Aargau
2018-12-18,1.5,-2.8,-0.7,0,0,Aargau
2018-12-19,5,-3.1,0.8,7.4,0.35,Aargau
2018-12-20,7.6,1.5,4.4,2.4,0,Aargau
2018-12-21,9.7,4.3,7.5,10.7,0,Aargau
2018-12-22,10.7,8.4,9.6,2.7,0,Aargau
2018-12-23,10.4,6.4,8.7,3.5,0,Aargau
2018-12-24,10.6,4.1,7.5,18.8,0,Aargau
2018-12-25,3.5,-2.9,0.5,0,0,Aargau
2018-12-26,1.1,-4.6,-1.7,0,0,Aargau
2018-12-27,2.1,-4.8,-2.3,0,0,Aargau
2018-12-28,4.4,-2.9,-0.3,0,0.07,Aargau
2018-12-29,0.6,-2.7,-0.6,0,0,Aargau
2018-12-30,4,-0.9,2,0.1,0.49,Aargau
2018-12-31,5.4,1.6,3.2,0.8,0,Aargau
2019-01-01,6.3,1.2,3.3,0.1,0,Aargau
2019-01-02,3.7,-2.8,1.5,0.9,0.91,Aargau
2019-01-03,0.5,-4.6,-2.3,0,0,Aargau
2019-01-04,2.2,-2.2,-0.8,0,0,Aargau
2019-01-05,1.5,-1.4,0.4,0.2,2.66,Aargau
2019-01-06,2.8,1.5,1.9,2.6,0.35,Aargau
2019-01-07,3.4,1.2,1.9,0.5,0,Aargau
2019-01-08,4.1,0.9,2.2,3,2.73,Aargau
2019-01-09,1.7,-0.7,0.9,0.4,3.08,Aargau
2019-01-10,0.5,-3.1,-0.8,0,2.03,Aargau
2019-01-11,0.5,-3.7,-1.6,0,0.56,Aargau
2019-01-12,3.5,-0.7,1.4,0.8,1.54,Aargau
2019-01-13,5.7,2,3.4,15.1,2.38,Aargau
2019-01-14,5.9,1.7,3.9,6.9,0.35,Aargau
2019-01-15,5.1,-1.8,1.7,0.1,0,Aargau
2019-01-16,6.7,-3.2,0.5,0,0,Aargau
2019-01-17,7.3,1,4.1,2.8,0,Aargau
2019-01-18,2.5,-3.6,-0.2,0,1.4,Aargau
2019-01-19,1.4,-5.1,-2.8,0,0,Aargau
2019-01-20,2.6,-5,-2.3,0,0,Aargau
2019-01-21,1.9,-2.9,-1.1,0,0.35,Aargau
2019-01-22,0.4,-4.7,-1.8,0,0,Aargau
2019-01-23,1.7,-5.8,-2.6,0,0.14,Aargau
2019-01-24,-0.2,-3.5,-1.9,0,0.35,Aargau
2019-01-25,-0.5,-4.7,-2.6,0,0,Aargau
2019-01-26,2.8,-1.7,1,0.2,0.07,Aargau
2019-01-27,6.2,0.9,3.6,3.3,0.42,Aargau
2019-01-28,3.5,0.3,1.4,0,2.73,Aargau
2019-01-29,3.5,-3,0.3,0,0.14,Aargau
2019-01-30,3.3,-3.2,-0.2,0,0.21,Aargau
2019-01-31,3.1,-4.5,-0.6,0,1.26,Aargau
2019-02-01,2.7,-0.8,0.9,2,3.57,Aargau
2019-02-02,6.1,-0,2.3,0.6,0,Aargau
2019-02-03,3.3,-0.7,1.2,3.2,4.69,Aargau
2019-02-04,2.3,-4.1,-1,0,0,Aargau
2019-02-05,3.1,-5.5,-1.9,0,0,Aargau
2019-02-06,4.3,-5.9,-2.4,0,0,Aargau
2019-02-07,4.9,-6.8,-0,5.1,0,Aargau
2019-02-08,7.9,-0.5,2.6,0,0,Aargau
2019-02-09,9.3,1.7,5.6,1.2,0,Aargau
2019-02-10,10.5,3.1,5.5,7.1,0.14,Aargau
2019-02-11,5.1,1.1,2.7,1.1,1.4,Aargau
2019-02-12,4.6,-1.6,1.4,0,0,Aargau
2019-02-13,8,-2.8,1.1,0,0,Aargau
2019-02-14,11.1,-4.9,1.7,0,0,Aargau
2019-02-15,11.4,-3.5,2.1,0,0,Aargau
2019-02-16,15,-4.2,3.7,0,0,Aargau
2019-02-17,14.5,-4.9,3.2,0,0,Aargau
2019-02-18,13.6,-3,3.5,0,0,Aargau
2019-02-19,12.2,1.2,5.2,0,0,Aargau
2019-02-20,11.9,-0.6,4.3,0,0,Aargau
2019-02-21,14.2,-1.5,4.6,0,0,Aargau
2019-02-22,12.5,3.1,7.4,0.2,0,Aargau
2019-02-23,9.5,2.9,5.6,0,0,Aargau
2019-02-24,9.3,-3.2,2.7,0,0,Aargau
2019-02-25,12.4,-1.2,4.8,0,0,Aargau
2019-02-26,13.1,-0.7,5.5,0,0,Aargau
2019-02-27,14.7,-1.3,5.3,0,0,Aargau
2019-02-28,17.1,1.4,8.7,0.1,0,Aargau
2019-03-01,7.4,5.2,6.6,7.6,0,Aargau
2019-03-02,8.7,4.8,6.5,1.5,0,Aargau
2019-03-03,13.5,4.7,9,0,0,Aargau
2019-03-04,10.2,4.1,6.8,3.1,0,Aargau
2019-03-05,10.4,2.7,6.4,0.3,0,Aargau
2019-03-06,14,-0.8,6.3,0,0,Aargau
2019-03-07,10.8,3.4,6.9,2.3,0,Aargau
2019-03-08,8.1,4.6,6,2.3,0,Aargau
2019-03-09,11.2,4.3,7.8,1.5,0,Aargau
2019-03-10,12.5,6.2,9.8,9.8,0,Aargau
2019-03-11,5.1,1,3.5,1.4,2.1,Aargau
2019-03-12,8.9,-0.6,3.9,0,0.07,Aargau
2019-03-13,11,3.1,5.7,3.5,0.42,Aargau
2019-03-14,4.9,2.6,3.8,12.6,1.4,Aargau
2019-03-15,10.1,3.9,7.6,10.7,0,Aargau
2019-03-16,15.8,6.7,10.3,0.7,0,Aargau
2019-03-17,16.1,4.4,8.8,3.4,0,Aargau
2019-03-18,7.6,1.1,3.9,1.6,0.28,Aargau
2019-03-19,8.6,-3.4,2.7,0,0,Aargau
2019-03-20,9.7,-2.1,3.6,0,0,Aargau
2019-03-21,12,-1.7,4.6,0,0,Aargau
2019-03-22,15.9,-1.4,7.1,0,0,Aargau
2019-03-23,17.2,-0.3,8,0,0,Aargau
2019-03-24,16.8,1.1,9,0,0,Aargau
2019-03-25,9.2,2.5,6.5,0.2,0.07,Aargau
2019-03-26,8.6,1.3,4.3,0.6,0.28,Aargau
2019-03-27,9.5,-0.5,4.6,0,0,Aargau
2019-03-28,13.7,0.8,6.8,0,0,Aargau
2019-03-29,15.5,2.4,8.6,0,0,Aargau
2019-03-30,17.1,-0.7,9.3,0,0,Aargau
2019-03-31,17.7,0.1,9.6,0,0,Aargau
2019-04-01,16.7,4.2,10.1,0,0,Aargau
2019-04-02,18.8,2.2,11.1,0,0,Aargau
2019-04-03,12.9,3.1,7.6,9.7,0,Aargau
2019-04-04,3.5,1.7,2.3,9.3,12.25,Aargau
2019-04-05,8.8,0.7,4.5,0.2,0,Aargau
2019-04-06,14.3,-1.1,7.1,0,0,Aargau
2019-04-07,11.8,4.4,7.8,3.3,0,Aargau
2019-04-08,13.1,5.5,8.8,0,0,Aargau
2019-04-09,13.1,6,8.8,0.6,0,Aargau
2019-04-10,11.3,4.2,7.8,4.5,0,Aargau
2019-04-11,10.7,6.1,7.9,1.4,0,Aargau
2019-04-12,11.8,2.8,7.5,0,0,Aargau
2019-04-13,8.9,3.2,5.3,0.9,0,Aargau
2019-04-14,4.4,1.3,3,3.8,0.35,Aargau
2019-04-15,13.7,0.8,6.7,0,0,Aargau
2019-04-16,15.4,0.9,8.6,0.8,0,Aargau
2019-04-17,16.5,7.8,11.2,1.8,0,Aargau
2019-04-18,19.9,5.2,12,0,0,Aargau
2019-04-19,20.8,4.7,13.1,0,0,Aargau
2019-04-20,21.2,5.8,13.6,0,0,Aargau
2019-04-21,21.2,7.8,14.2,0,0,Aargau
2019-04-22,21.8,7,14.1,0,0,Aargau
2019-04-23,21.4,8.5,14.5,0,0,Aargau
